epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,2352.89,0.59127,0.40233,1.13049,0.01745,0.94863,0.90857,0.9577,0.85774,0.42661,0.31457,1.03908,0.00867,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,2398.16,0.58606,0.39862,1.12431,0.01723,0.95001,0.91229,0.95843,0.85797,0.42477,0.31102,1.0314,0.0085,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,2443.45,0.58778,0.39771,1.12538,0.01727,0.95462,0.90657,0.95701,0.85696,0.42737,0.30734,1.0406,0.00835,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,2488.69,0.58387,0.3955,1.12284,0.01672,0.95743,0.90557,0.95111,0.85676,0.42732,0.30709,1.03978,0.00861,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,2533.94,0.58168,0.39261,1.11983,0.01689,0.95003,0.91062,0.95118,0.85753,0.42527,0.31247,1.03804,0.00838,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,2579.33,0.57944,0.39144,1.11694,0.01666,0.9442,0.91394,0.95068,0.85606,0.42564,0.3107,1.03525,0.00827,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,2624.87,0.58092,0.39339,1.12052,0.01665,0.95173,0.91226,0.95666,0.85635,0.42578,0.31047,1.03818,0.00862,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,2670.39,0.57672,0.39026,1.117,0.01635,0.95316,0.90801,0.95108,0.85645,0.42312,0.30614,1.04016,0.0084,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,2715.9,0.5789,0.38977,1.11814,0.01664,0.95324,0.912,0.95131,0.85682,0.42446,0.30435,1.04394,0.00822,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,2761.43,0.57413,0.38841,1.11384,0.01634,0.94803,0.91366,0.95706,0.85659,0.42539,0.30808,1.0437,0.00821,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2807.04,0.57737,0.38987,1.11634,0.0161,0.94828,0.91433,0.95714,0.85592,0.42849,0.30528,1.04522,0.00858,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2852.53,0.57299,0.38494,1.11409,0.01631,0.94302,0.91904,0.95207,0.85889,0.42439,0.30148,1.04315,0.00827,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2898.09,0.56928,0.38319,1.10869,0.01586,0.94911,0.91337,0.95784,0.85793,0.42183,0.30357,1.03719,0.00789,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2943.64,0.57323,0.38646,1.11351,0.01623,0.94861,0.91097,0.94929,0.85526,0.42476,0.30929,1.04186,0.00852,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2989.19,0.56994,0.3823,1.10925,0.01566,0.94911,0.91365,0.95064,0.85803,0.42191,0.30593,1.04197,0.00808,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,3034.73,0.56473,0.37864,1.10616,0.01563,0.94892,0.91217,0.9504,0.85756,0.42474,0.30632,1.04176,0.0076,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,3080.25,0.5675,0.38034,1.10504,0.01568,0.94661,0.91391,0.95112,0.85882,0.42228,0.30275,1.04063,0.00784,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,3125.89,0.5662,0.37896,1.10855,0.01553,0.94475,0.91468,0.95054,0.85715,0.42025,0.30376,1.04024,0.00793,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
